img,title,console,genre,publisher,developer,vg_score,critic_score,user_score,total_shipped,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update
/games/boxart/full_spider-man-shattered-dimensions_4AmericaFront.jpg,Spider-Man: Shattered Dimensions,PS3,Action,Activision,Beenox Studios,,,,,0.44,0.26,,0.13,0.05,2010-09-07,
/games/boxart/full_scooby-doo-mystery-mayhem_326AmericaFront.jpg,Scooby-Doo! Mystery Mayhem,GBA,Action,THQ,Artificial Mind and Movement,,,,,0.44,0.31,,0.12,0.01,2003-09-10,
/games/boxart/full_7468354AmericaFrontccc.jpg,ICEY,PC,Action,Unknown,FantaBlade Network,,,,0.44,,,,,,,2019-02-10
/games/boxart/2594505ccc.jpg,Robert Ludlum's The Bourne Conspiracy,X360,Action,Sierra Entertainment,High Moon Studios,,,,,0.44,0.26,,0.13,0.04,2008-06-03,
/games/boxart/full_454288AmericaFrontccc.jpg,Battlebots: Design & Destroy,GBA,Action,Majesco,Cave Barn,,4.0,,,0.44,0.31,,0.12,0.01,2003-08-31,
/games/boxart/full_3127820AmericaFrontccc.jpg,Star Wars The Clone Wars: Republic Heroes,PS3,Action,LucasArts,Krome Studios,,,,,0.44,0.19,,0.18,0.07,2009-10-06,
/games/boxart/full_power-rangers-spd_308AmericaFront.jpg,Power Rangers: S.P.D.,GBA,Action,THQ,Natsume,,,,,0.44,0.31,,0.12,0.01,2005-09-08,
/games/boxart/full_naughty-bear_7AmericaFront.jpg,Naughty Bear,PS3,Action,505 Games,Artificial Mind and Movement,,4.5,,,0.44,0.18,,0.18,0.07,2010-06-29,
/games/boxart/full_7044595JapanFrontccc.jpg,Mobile Suit Gundam: One Year War,PS2,Action,Bandai,Namco,,,,,0.44,,0.44,,,2005-04-07,
/games/boxart/full_4894610AmericaFrontccc.jpg,Primal,PS2,Action,Sony Computer Entertainment,SCEE Cambridge,,7.1,,,0.43,0.21,,0.17,0.06,2003-03-25,
/games/boxart/full_5937607AmericaFrontccc.jpg,Nicktoons Unite!,GBA,Action,THQ,Climax Group,,,,,0.43,0.31,,0.12,0.01,2005-10-27,
/games/boxart/2014737ccc.jpg,Barnstorming,2600,Action,Activision,Activision,,,,,0.43,0.4,,0.02,0.0,1982-01-01,
/games/boxart/full_barbie-groom-and-glam-pups_1AmericaFront.jpg,Barbie: Groom and Glam Pups,DS,Action,THQ,THQ,,,,,0.43,0.25,,0.14,0.04,2010-11-16,
/games/boxart/full_3672187AmericaFrontccc.jpg,Ghostbusters: The Video Game,PS2,Action,Atari,Red Fly Studio,,,,,0.43,0.15,,0.04,0.24,2009-06-16,
/games/boxart/8438223ccc.jpg,Hunter: The Reckoning  Wayward,PS2,Action,VU Games,High Voltage Software,,,,,0.43,0.21,,0.16,0.06,2003-09-09,
/games/boxart/full_asuras-wrath_264AmericaFront.jpg,Asura's Wrath,PS3,Action,Capcom,CyberConnect2,,,8.3,,0.43,0.2,0.06,0.12,0.05,2012-02-21,
/games/boxart/full_2843035AmericaFrontccc.jpg,Def Jam Icon,PS3,Action,Electronic Arts,Unknown,,6.6,,,0.43,0.16,0.0,0.19,0.07,2007-03-06,
/games/boxart/full_8731604AmericaFrontccc.jpg,Bakugan: Battle Brawlers,PS2,Action,Activision,MTO,,,,,0.43,0.21,,0.16,0.05,2009-10-20,
/games/boxart/full_9153971AmericaFrontccc.jpg,LEGO Marvel's Avengers,PS3,Action,Warner Bros. Interactive Entertainment,Traveller's Tales,,,,,0.43,0.13,,0.23,0.07,2016-01-26,2018-04-06
/games/boxart/full_6350722AmericaFrontccc.jpg,Ben 10 Alien Force: Vilgax Attacks,PSP,Action,D3 Publisher,1st Playable Productions,,,,,0.43,0.13,,0.19,0.11,2009-10-27,
/games/boxart/full_7961439AmericaFrontccc.jpg,Naruto: Ninja Council 3,DS,Action,D3 Publisher,Aspect,,,,,0.42,0.39,,,0.03,2007-05-22,
/games/boxart/full_8239805AmericaFrontccc.jpg,Bayonetta,PC,Action,Sega,PlatinumGames,,,,0.42,,,,,,2017-04-11,2020-08-02
/games/boxart/full_3771758AmericaFrontccc.jpg,Hello Neighbor,XOne,Action,Gearbox Software,Dynamic Pixels,,,,,0.42,0.27,,0.11,0.04,2017-12-08,2017-12-31
/games/boxart/862284ccc.jpg,Pirates of the Caribbean: At World's End,PSP,Action,Disney Interactive Studios,Eurocom Entertainment Software,,6.0,,,0.42,0.15,,0.17,0.1,2007-05-22,
/games/boxart/full_3646542AmericaFrontccc.jpg,Saints Row IV: Re-Elected,PS4,Action,Deep Silver,Volition Inc.,,,,,0.42,0.15,0.03,0.18,0.06,2015-01-20,2018-04-30
/games/boxart/full_7431646AmericaFrontccc.jpg,Ben 10 Alien Force: Vilgax Attacks,DS,Action,D3 Publisher,1st Playable Productions,,,,,0.42,0.22,,0.16,0.04,2009-10-27,
/games/boxart/full_4785425JapanFrontccc.jpg,Super Wagyan Land,SNES,Action,Namco,Namco,,,,,0.42,,0.42,,,1991-12-13,
/games/boxart/302675ccc.jpg,Rascal,PS,Action,Sony Computer Entertainment,Traveller's Tales,,,,,0.42,0.24,,0.16,0.03,1998-03-31,
/games/boxart/full_tron-evolution_5AmericaFront.jpg,TRON: Evolution,PS3,Action,Disney Interactive Studios,Propaganda Games,,,,,0.42,0.27,,0.1,0.05,2010-12-07,
/games/boxart/3410149ccc.jpg,Avatar: The Last Airbender - The Burning Earth,PS2,Action,THQ,THQ Australia,,,,,0.42,0.21,,0.16,0.05,2007-10-16,
/games/boxart/8718226ccc.jpg,Superman: Shadow of Apokolips,PS2,Action,Atari,Infogrames,,,,,0.42,0.21,,0.16,0.05,2002-09-25,
/games/boxart/410493ccc.png,Star Wars Trilogy: Apprentice of the Force,GBA,Action,Ubisoft,LucasArts,,,,,0.42,0.3,,0.11,0.01,2004-09-21,
/games/boxart/full_6176668AmericaFrontccc.jpg,SpongeBob's Truth or Square (US sales),DS,Action,THQ,Heavy Iron Studios,,,,,0.42,0.42,,0.0,,2009-10-26,
/games/boxart/full_6884960AmericaFrontccc.jpg,How to Train Your Dragon,Wii,Action,Activision,Etranges Libellules,,6.6,,,0.42,0.23,,0.15,0.04,2010-03-23,
/games/boxart/5019037ccc.jpg,The Adventures of Jimmy Neutron Boy Genius: Jet Fusion,PS2,Action,THQ,Krome Studios,,,,,0.42,0.21,,0.16,0.05,2003-09-16,
/games/boxart/full_8844889AmericaFrontccc.jpg,Afro Samurai,All,Action,Namco Bandai Games,Namco Bandai Games,,,,0.42,,,,,,2009-01-27,2020-11-21
/games/boxart/1640381ccc.jpg,Naruto: Uzumaki Chronicles,PS2,Action,Namco Bandai Games,Cavia Inc.,,,,0.42,,,,,,2008-09-17,
/games/boxart/9555169ccc.jpg,NFL Blitz 2001,N64,Action,Midway Games,Unknown,,,,,0.42,0.34,,0.07,0.0,2000-09-12,
/games/boxart/full_969495AmericaFrontccc.jpg,Dishonored: Definitive Edition,PS4,Action,Bethesda Softworks,Arkane Studios,,,,,0.42,0.12,0.02,0.21,0.06,2015-08-25,2018-04-04
/games/boxart/3704717ccc.jpg,Castlevania: Curse of Darkness,PS2,Action,Konami,Konami,,7.2,,,0.42,0.18,0.05,0.14,0.05,2005-11-01,
/games/boxart/full_9835827PALFrontccc.jpg,Double Pack: Finding Nemo / The Incredibles,XB,Action,THQ,Traveller's Tales / Heavy Iron Studios,,,,,0.42,0.31,,0.09,0.01,2006-01-30,
/games/boxart/full_3156264AmericaFrontccc.jpg,Construction Simulator 2015,PC,Action,Unknown,Unknown,,,,0.42,,,,,,,
/games/boxart/full_3925093AmericaFrontccc.jpg,Hell Yeah! Wrath of the Dead Rabbit,PC,Action,Unknown,Arkedo Studio,,5.6,,0.42,,,,,,,2018-01-05
/games/boxart/4076809ccc.jpg,Pirates of the Caribbean: At World's End,PS2,Action,Disney Interactive Studios,Eurocom Entertainment Software,,,,,0.42,0.2,,0.16,0.05,2007-05-22,
/games/boxart/full_4845581AmericaFrontccc.jpg,The Suffering,PS2,Action,Midway Games,Surreal Software,,,,,0.42,0.2,,0.16,0.05,2004-03-09,
/games/boxart/653060ccc.jpg,Tomb Raider: The Last Revelation,PC,Action,Eidos Interactive,Core Design Ltd.,,,,,0.41,0.41,,0.0,,1999-10-31,
/games/boxart/2610587ccc.jpg,Crash of the Titans,PS2,Action,Sierra Entertainment,Unknown,,,,,0.41,0.34,,0.01,0.06,2007-10-04,
/games/boxart/full_tom-clancys-hawx-2_1AmericaFront.jpg,Tom Clancy's HAWX 2,PS3,Action,Ubisoft,Ubisoft Bucharest,,,,,0.41,0.21,0.03,0.12,0.05,2010-09-07,
/games/boxart/full_4514062AmericaFrontccc.jpg,Star Wars The Clone Wars: Republic Heroes,PSP,Action,LucasArts,Krome Studios,,,,,0.41,0.21,,0.13,0.07,2009-10-06,
/games/boxart/full_7347332AmericaFrontccc.jpg,Grudge Warriors,PS,Action,Take-Two Interactive,Tempest Software,,,,,0.41,0.23,,0.16,0.03,2000-06-05,
/games/boxart/1531015ccc.jpg,300: March to Glory,PSP,Action,Warner Bros. Interactive,Collision Studios,,4.9,,,0.41,0.27,,0.08,0.07,2007-02-27,
/games/boxart/full_804208JapanFrontccc.jpg,Mobile Suit Gundam,SAT,Action,Bandai,CRI,,,,,0.41,,0.41,,,1995-12-22,
/games/boxart/3694871ccc.jpg,X-Men: The Official Game,PS2,Action,Activision,"Z-Axis, Ltd.",,,,,0.41,0.2,,0.16,0.05,2006-05-16,
/games/boxart/full_5467699AmericaFrontccc.jpg,Freebie,PC,Action,Unknown,hyperboreanGames,,,,0.41,,,,,,,2019-02-10
/games/boxart/full_6415062AmericaFrontccc.png,Samurai Warriors 5,All,Action,Koei Tecmo,Omega Force,,,,0.41,,,,,,2021-07-27,2021-07-27
/games/boxart/7261806ccc.jpg,Superman: The New Superman Adventures,N64,Action,Titus,Titus Software,,,,,0.41,0.33,,0.07,0.0,1999-05-31,
/games/boxart/full_2935681AmericaFrontccc.jpg,The Terminator: Dawn of Fate,PS2,Action,Atari,Paradigm Entertainment,,,,,0.41,0.2,,0.16,0.05,2002-09-16,
/games/boxart/full_2557199AmericaFrontccc.jpg,Transformers: Revenge of the Fallen,PSP,Action,Activision,Savage Entertainment,,3.8,,,0.41,0.17,,0.15,0.08,2009-06-23,
/games/boxart/full_8238237AmericaFrontccc.jpg,Mass Effect Trilogy,X360,Action,Electronic Arts,BioWare,,,,,0.41,0.28,,0.09,0.04,2012-11-06,2018-10-13
/games/boxart/full_harry-potter-and-the-deathly-hallows-part-1_7AmericaFront.jpg,Harry Potter and the Deathly Hallows - Part 1,DS,Action,Electronic Arts,EA Bright Light,,,,,0.41,0.19,,0.18,0.04,2010-11-09,
/games/boxart/full_6903718AmericaFrontccc.jpg,Mortal Kombat: Deadly Alliance,GC,Action,Midway Games,Midway,,8.6,,,0.41,0.31,,0.08,0.01,2002-11-17,
